Site,LAT_GAGE,LNG_GAGE,Slope_Jan_Resid,Slope_Feb_Resid,Slope_Mar_Resid,Slope_Apr_Resid,Slope_May_Resid,Slope_Jun_Resid,Slope_Jul_Resid,Slope_Aug_Resid,Slope_Sep_Resid,Slope_Oct_resid,Slope_Nov_Resid,Slope_Dec_Resid
sm13,45.476787,-122.498424,0.073628712,0.063964915,0.053157,0.038985909,0.024857925,0.008016573,-0.007913715,0.044902127,-0.003720402,0.127015694,0.057565284,0.144804848
sm14,45.470952,-121.865357,-0.102149626,-0.122780652,-0.154986051,-0.132441308,-0.142663692,-0.144436549,-0.173255624,-0.082509202,-0.12330256,-0.144466307,-0.214127369,-0.135171168
sm17,45.48011889,-122.0256385,-0.015653766,-0.001749418,-0.009587455,-0.009997712,0.016334939,-0.038631071,-0.043906807,-0.025190499,-0.027207733,-5.80E-05,-0.024015025,0.001984172
sm26,43.431227,-123.586757,0.044502619,-0.021184303,0.025636983,0.07390645,0.085070346,0.113874504,0.057660955,0.078884177,0.083088923,0.091021309,0.047758049,0.089454409
sm30,48.83261,-122.33905,0.080624964,0.115000396,0.148765793,0.166723893,0.169401272,0.120181872,0.037819042,0.053433762,-0.114005781,0.169837156,0.111543074,0.122671647
sm35,43.45215258,-110.7040913,-0.032511661,-0.056127813,-0.065937245,-0.063109173,-0.089705465,-0.12303606,-0.09940086,-0.042246237,-0.053118673,0.014633802,-0.055387149,-0.042661722
sm36,47.947326,-121.626783,0.040401858,0.018421826,-0.018819871,-0.045285435,-0.04180171,-0.019893658,0.021938987,-0.023080966,0.012502274,0.014322184,0.003840546,0.027247473
sm42,45.44456402,-122.1095292,0.002296339,-0.008824487,0.012414979,0.027768616,0.069055192,-0.019560466,-0.03981697,-0.037542886,-0.043706728,-0.015576675,-0.016303251,0.022170736
sm50,47.68926929,-121.7134457,-0.075730065,-0.070991262,-0.092110592,-0.048290495,-0.08731885,-0.187897323,-0.203342682,-0.211611515,-0.012293619,-0.046124316,-0.114785593,-0.090328576
sm58,48.6715,-122.1396,0.042498156,0.042697567,0.017165336,0.002946108,0.010753034,0.097005699,0.077401413,0.073211457,0.131709337,0.047355871,0.135816306,0.048977732
